,HMP ID,Organism Name,Domain,NCBI Superkingdom,HMP Isolation Body Site,Project Status,NCBI Submission Status,NCBI Project ID,Gene Count,IMG/HMP ID,Funding Source,Name Category,Name Details
0,1,Abiotrophia defectiva ATCC 49176,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,33011,1950,643886181,NIH-HMP Jumpstart Supplement,Abiotrophia,defectiva ATCC 49176
1,4,Achromobacter piechaudii ATCC 43553,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,46343,5755,647000200,NIH-HMP Jumpstart Supplement,Achromobacter,piechaudii ATCC 43553
2,5,Achromobacter xylosoxidans C54,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38739,6010,0,NIH-HMP Jumpstart Supplement,Achromobacter,xylosoxidans C54
3,10,Acinetobacter baumannii ATCC 19606,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,38509,3832,647533101,NIH-HMP Jumpstart Supplement,Acinetobacter,baumannii ATCC 19606
4,12,Acinetobacter calcoaceticus RUH2202,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,38337,3632,646206267,NIH-HMP Jumpstart Supplement,Acinetobacter,calcoaceticus RUH2202
5,13,Acinetobacter sp. SH024,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,41947,3703,647533108,NIH-HMP Jumpstart Supplement,Acinetobacter,sp. SH024
6,14,Acinetobacter sp. RUH2624,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,38511,3693,647533107,NIH-HMP Jumpstart Supplement,Acinetobacter,sp. RUH2624
7,15,Acinetobacter haemolyticus ATCC 19194,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,43187,3491,647000202,NIH-HMP Jumpstart Supplement,Acinetobacter,haemolyticus ATCC 19194
8,16,Acinetobacter johnsonii SH046,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,38339,3434,646206268,NIH-HMP Jumpstart Supplement,Acinetobacter,johnsonii SH046
9,17,Acinetobacter lwoffii SH145,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,38343,3202,646206270,NIH-HMP Jumpstart Supplement,Acinetobacter,lwoffii SH145
10,18,Acinetobacter radioresistens SH164,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38345,2938,646206271,NIH-HMP Jumpstart Supplement,Acinetobacter,radioresistens SH164
11,19,Acinetobacter radioresistens SK82,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34081,3188,645058758,NIH-HMP Jumpstart Supplement,Acinetobacter,radioresistens SK82
12,20,Acinetobacter baumannii 6013113,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,33017,4010,647000203,NIH-NHGRI,Acinetobacter,baumannii 6013113
13,21,Acinetobacter baumannii 6013150,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,33071,3964,647000204,NIH-NHGRI,Acinetobacter,baumannii 6013150
14,22,Acinetobacter baumannii 6014059,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,33073,3880,647000205,NIH-NHGRI,Acinetobacter,baumannii 6014059
15,23,Acinetobacter sp. ATCC 27244,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,30949,3327,643886214,NIH-NHGRI,Acinetobacter,sp. ATCC 27244
16,26,Acinetobacter junii SH205,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38341,3252,646206269,NIH-HMP Jumpstart Supplement,Acinetobacter,junii SH205
17,27,Actinobacillus ureae ATCC 25976,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,52977,2475,649989900,NIH-HMP Jumpstart Supplement,Actinobacillus,ureae ATCC 25976
18,43,Actinobaculum P1 oral taxon 183 F0552,BACTERIAL,NO KINGDOM,oral,Complete,6. annotation (and sequence) public on NCBI site,173932,2320,0,NIH-HMP Sequencing Center,Actinobaculum,P1 oral taxon 183 F0552
19,44,Actinomyces coleocanis DSM 15436,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31427,1546,643886017,NIH-HMP Jumpstart Supplement,Actinomyces,coleocanis DSM 15436
20,45,Actinomyces graevenitzii C83,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38761,1853,2513237375,NIH-HMP Jumpstart Supplement,Actinomyces,graevenitzii C83
21,50,Actinomyces odontolyticus ATCC 17982,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,18171,2159,640963058,NIH-HMP NHGRI,Actinomyces,odontolyticus ATCC 17982
22,51,Actinomyces odontolyticus C702,BACTERIAL,Bacteria,airways,In Progress,4. sequence public on NCBI site,38741,0,0,NIH-HMP Jumpstart Supplement,Actinomyces,odontolyticus C702
23,58,Actinomyces urogenitalis DSM 15434,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31429,2403,643886015,NIH-HMP Jumpstart Supplement,Actinomyces,urogenitalis DSM 15434
24,59,Actinomyces viscosus C505,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38743,2587,649989905,NIH-HMP Jumpstart Supplement,Actinomyces,viscosus C505
25,61,Aerococcus viridans ATCC 11563,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,38729,1929,647000207,NIH-HMP Jumpstart Supplement,Aerococcus,viridans ATCC 11563
26,63,Aeromicrobium marinum DSM 15272,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,34545,3081,645951844,NIH-HMP Jumpstart Supplement,Aeromicrobium,marinum DSM 15272
27,67,Anaerovorax sp. ORNL_6EZ5-Gt_3_Pl1-27,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217536,0,0,NIH-HMP Sequencing Center,Anaerovorax,sp. ORNL_6EZ5-Gt_3_Pl1-27
28,68,Alistipes sp. 10_1_37FAA,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,4. sequence public on NCBI site,41949,0,0,NIH-NHGRI,Alistipes,sp. 10_1_37FAA
29,69,Alistipes putredinis DSM 17216,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,19655,2742,641736205,NIH-HMP NHGRI,Alistipes,putredinis DSM 17216
30,70,Anaerovorax sp. ORNL_6EZ5-Gt_3_Pl2-127,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217537,0,0,NIH-HMP Sequencing Center,Anaerovorax,sp. ORNL_6EZ5-Gt_3_Pl2-127
31,71,Anaerococcus hydrogenalis DSM 7454,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30747,2069,642979323,NIH-HMP NHGRI,Anaerococcus,hydrogenalis DSM 7454
32,72,Anaerococcus lactolyticus ATCC 51172,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,30951,2253,643886145,NIH-NHGRI,Anaerococcus,lactolyticus ATCC 51172
33,76,Anaerococcus sp. S9 PR-5,BACTERIAL,Bacteria,urogenital_tract,In Progress,4. sequence public on NCBI site,219648,0,0,NIH-HMP,Anaerococcus,sp. S9 PR-5
34,77,Anaerococcus tetradius ATCC 35098,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31433,2079,643886055,NIH-HMP Jumpstart Supplement,Anaerococcus,tetradius ATCC 35098
35,78,Anaerococcus vaginalis ATCC 51170,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,38727,1764,645058761,NIH-HMP Jumpstart Supplement,Anaerococcus,vaginalis ATCC 51170
